,Unnamed: 0,PubMedID,Title,Abstract,Label
2910,2910,15241437,BCR-ABL transcripts are early predictors for hematological relapse in chronic myeloid leukemia after hematopoietic cell transplantation with reduced intensity conditioning,"Kinetics of BCR-ABL transcript elimination and its prognostic implications on relapse were analyzed in patients with chronic myeloid leukemia (CML) after reduced intensity hematopoietic cell transplantation (HCT). In all, 19 CML patients were conditioned with 2 Gy total-body irradiation in combination with (n=14) or without (n=3) fludarabine 3 x 30 mg/m(2) (Flu) or 4.5 Gy total lymphoid irradiation (TLI) with Flu and OKT3 3 x 5 mg (n=2) and were treated with cyclosporine (CSP) and mycophenolate mofetil after allogeneic HCT. BCR-ABL transcripts were analyzed by nested RT-PCR and Taqman((R)) RT-PCR on days +28, +56 and +84 after HCT and were evaluated for their association with relapse. Of the 19 patients, 14 achieved sustained remissions of which six had a negative RT-PCR 28 days after HCT. Five patients relapsed +41, +54, +57, +136 and +234 days after HCT. Predictors for relapse were advanced disease stage (P=0.02) and slow reduction of BCR-ABL transcripts at day 28 (P=0.006) and day 56 (P=0.047) post-transplant. We conclude that a complete clearance of BCR-ABL transcripts is achievable within 4 weeks from HCT even after minimal conditioning and that early kinetics of BCR-ABL transcripts significantly correlate with the probability of hematological relapse. ",0
9156,9156,8604150,"Comparative studies on the toxicity of mercury, cadmium, and copper toward the isolated perfused rat liver","""The toxic effects of cadmium, mercury, and copper were compared over the over range 0.01, 0.03, and 0.1 mM using the isolated perfused rat liver preparation. All metals caused similar changes in various parameters used to describe general toxicity. Thus reductions in oxygen consumption, perfusion flow, and biliary secretion were found, while lactate dehydrogenase release into the perfusate, as well as liver weight, increased also in a dose-dependent fashion. Each metal caused similar magnitudes of changes and exerted similar potency. Measurement of other parameters indicating more specific injury revealed a number of differences. Although all metals reduced hepatic ATP concentration, mercury and cadmium were more potent than copper in this respect. Cadmium was the most potent at decreasing reduced glutathione levels. Mercury was most effective at increasing tissue calcium content, while copper was less so, and cadmium ineffective. Only copper significantly increased tissue malondialdehyde (MDA) content, while all metals increased its release into perfusate. Furthermore, whereas cadmium seemed the most potent metal in increasing MDA release, it was least efficacious, while copper was the most. Antioxidants such as superoxide dismutase, catalase, and Trolox C only reduced cadmium's influence on MDA in perfusate; however, they did not affect cadmium's ability to alter most other parameters of vitality. Albumin reversed the toxic effects of copper and mercury, but not cadmium. While metal-induced reductions in perfusion flow accounted for some of the toxic effects of the metals investigated, the results as a whole supported the suggestion that all metals exerted toxicity at the mitochondria, since ATP levels were reduced in a manner that could not be reproduced by perfusion flow reduction alone. Lipid peroxidation appears to play little role in determining toxicity induced by any of these metals. Furthermore, albumin may play an important physiological role in preventing hepatic injury that might otherwise be induced through acute metal intoxication.""",1
5741,5741,25692915,"Aflibercept, bevacizumab, or ranibizumab for diabetic macular edema","BACKGROUND: The relative efficacy and safety of intravitreous aflibercept, bevacizumab, and ranibizumab in the treatment of diabetic macular edema are unknown. METHODS: At 89 clinical sites, we randomly assigned 660 adults (mean age, 61�10 years) with diabetic macular edema involving the macular center to receive intravitreous aflibercept at a dose of 2.0 mg (224 participants), bevacizumab at a dose of 1.25 mg (218 participants), or ranibizumab at a dose of 0.3 mg (218 participants). The study drugs were administered as often as every 4 weeks, according to a protocol-specified algorithm. The primary outcome was the mean change in visual acuity at 1 year. RESULTS: From baseline to 1 year, the mean visual-acuity letter score (range, 0 to 100, with higher scores indicating better visual acuity; a score of 85 is approximately 20/20) improved by 13.3 with aflibercept, by 9.7 with bevacizumab, and by 11.2 with ranibizumab. Although the improvement was greater with aflibercept than with the other two drugs (P<0.001 for aflibercept vs. bevacizumab and P=0.03 for aflibercept vs. ranibizumab), it was not clinically meaningful, because the difference was driven by the eyes with worse visual acuity at baseline (P<0.001 for interaction). When the initial visual-acuity letter score was 78 to 69 (equivalent to approximately 20/32 to 20/40) (51% of participants), the mean improvement was 8.0 with aflibercept, 7.5 with bevacizumab, and 8.3 with ranibizumab (P>0.50 for each pairwise comparison). When the initial letter score was less than 69 (approximately 20/50 or worse), the mean improvement was 18.9 with aflibercept, 11.8 with bevacizumab, and 14.2 with ranibizumab (P<0.001 for aflibercept vs. bevacizumab, P=0.003 for aflibercept vs. ranibizumab, and P=0.21 for ranibizumab vs. bevacizumab). There were no significant differences among the study groups in the rates of serious adverse events (P=0.40), hospitalization (P=0.51), death (P=0.72), or major cardiovascular events (P=0.56). CONCLUSIONS: Intravitreous aflibercept, bevacizumab, or ranibizumab improved vision in eyes with center-involved diabetic macular edema, but the relative effect depended on baseline visual acuity. When the initial visual-acuity loss was mild, there were no apparent differences, on average, among study groups. At worse levels of initial visual acuity, aflibercept was more effective at improving vision. (Funded by the National Institutes of Health; ClinicalTrials.gov number, NCT01627249.).",0
2844,2844,15215481,Long-term survival of children with end-stage renal disease,"BACKGROUND: Although renal-replacement therapy for children with end-stage renal disease has been used for several decades, data on patients' long-term survival are sparse. METHODS: We examined the long-term survival of all children and adolescents who were under 20 years of age when renal-replacement therapy commenced (study period, April 1963 through March 2002), using data from the Australia and New Zealand Dialysis and Transplant Registry. Survival was analyzed with the use of Kaplan-Meier methods and age-standardized mortality rates. Risk factors for death were analyzed with the use of Cox regression analysis with time-dependent covariates. RESULTS: A total of 1634 children and adolescents were followed for a median of 9.7 years. The long-term survival rate among children requiring renal-replacement therapy was 79 percent at 10 years and 66 percent at 20 years. Mortality rates were 30 times as high as for children without end-stage renal disease. Risk factors for death were a young age at the time renal-replacement therapy was initiated (especially for children under 1 year of age, among whom the risk was four times as high as for children 15 to 19 years of age) and treatment with dialysis (which was associated with a risk more than four times as high as for renal transplantation). Overall, a trend toward improved survival was observed over the four decades of the study. CONCLUSIONS: Despite improvement in long-term survival, mortality rates among children requiring renal-replacement therapy remain substantially higher than those among children without end-stage renal disease. Increasing the proportion of children treated with renal transplantation rather than with dialysis can improve survival further.",0
248,248,1001242,Treatment of the neuroleptic syndrome by biperiden hydrochloride under its delayed-action form. A 9-month study on 55 hospitalized patients],"Biperiden hydrochloride has been used in the treatment of Parkinson's disease and related disorders within two drugs: --Akinophyl, --and Akineton which is chemically similar but has a slower effect. The first French publications upon its use as a neuroleptic corrector date from 1972. Our study deals with 55 chronic psychotic patients treated with neuroleptics and varied correctors of resulting Parkinson disorders. Akineton has been substituted for the preceding antiparkinson drugs. We may come to the following conclusions = Akineton is effective upon neuroleptic syndrom, gives few or no untoward reactions, has no toxicologic effects, shows no incompatibility with any other drug. It is very satisfactory to have at our disposal a drug effective in small doses and having a slow effect within average of 24 hours. ",0
2711,2711,15056141,Intermittent topical 5-fluorouracil is effective without significant irritation in the treatment of actinic keratoses but prolongs treatment duration,"Controversy exists as to whether treatment of actinic keratoses with intermittent doses of topical 5-fluorouracil is effective in the absence of significant irritation. To evaluate the efficacy and degree of irritation of 5-fluorouracil as a function of its application frequency. A total of 85 actinic keratoses in 53 patients were treated, initially with four applications per week for the first week. After this first week, if intolerable irritation arose, patients were instructed to reduce application frequency to two times per week for the rest of the treatment period. Treatment was completed for 95.4% of the lesions included, with healing of 88.6% of them. The mean time to healing was 7.4 weeks (with four applications weekly) and 10.2 weeks (with two applications). The healing rate was similar in the two groups. Significant correlations (p<0.001) were observed between application frequency and time to healing. Intermittent 5-fluorouracil treatment is effective without causing significant irritation, but time to healing increases with declining application frequency. ",0
2186,2186,10373070,Incidence and outcome of Clostridium difficile infection following autologous peripheral blood stem cell transplantation,"A retrospective evaluation of 200 consecutive recipients of autologous peripheral blood stem cell transplantation (PBSCT) was conducted to ascertain the incidence and outcome of infection with Clostridium difficile. The diagnosis was confirmed in 14 patients with diarrhea (15 episodes) at a median of 33 days after stem cell infusion. Five patients were neutropenic at the time of diagnosis. Every individual had adverse known risk factors such as recent or current use of antibiotic, corticosteroid and antiviral therapy, recent administration of myeloablative chemotherapy and numerous, prolonged periods of hospitalization. Diarrhea, frequently hemorrhagic, was the most common presenting feature along with fever, abdominal cramps and abdominal distention. Diagnosis was established by the stool-cytotoxin test. Response to standard treatment with oral vancomycin or metronidazole was prompt despite the presence of several adverse prognostic features in these patients. There was only one instance of relapse which was also treated successfully. Several transplant-related variables such as age, sex, underlying malignancy, myelo-ablative regimen, duration of neutropenia, and prophylactic use of oral ampicillin underwent statistical analysis but failed to be predictive of C. difficile infection in such a setting. Finally, C. difficile is not uncommon after autologous PBSCT and must be included in the differential diagnosis in any such patient with diarrhea. ",0
9168,9168,8637535,The effects of supraphysiologic doses of testosterone on muscle size and strength in normal men,"""BACKGROUND: Athletes often take androgenic steroids in an attempt to increase their strength. The efficacy of these substances for this purpose is unsubstantiated, however. METHODS: We randomly assigned 43 normal men to one of four groups: placebo with no exercise; testosterone with no exercise; placebo plus exercise; and testosterone plus exercise. The men received injections of 600 mg of testosterone enanthate or placebo weekly for 10 weeks. The men in the exercise groups performed standardized weight-lifting exercises three times weekly. Before and after the treatment period, fat-free mass was determined by underwater weighing, muscle size was measured by magnetic resonance imaging, and the strength of the arms and legs was assessed by bench-press and squatting exercises, respectively. RESULTS: Among the men in the no-exercise groups, those given testosterone had greater increases than those given placebo in muscle size in their arms (mean [+/-SE] change in triceps area, 424 +/- 104 vs. -81 +/- 109 square millimeters; P < 0.05) and legs (change in quadriceps area, 607 +/- 123 vs. -131 +/- 111 square millimeters; P < 0.05) and greater increases in strength in the bench-press (9 +/- 4 vs. -1 +/- 1 kg, P < 0.05) and squatting exercises (16 +/- 4 vs. 3 +/- 1 kg, P < 0.05). The men assigned to testosterone and exercise had greater increases in fat-free mass (6.1 +/- 0.6 kg) and muscle size (triceps area, 501 +/- 104 square millimeters; quadriceps area, 1174 +/- 91 square millimeters) than those assigned to either no-exercise group, and greater increases in muscle strength (bench-press strength, 22 +/- 2 kg; squatting-exercise capacity, 38 +/- 4 kg) than either no-exercise group. Neither mood nor behavior was altered in any group. CONCLUSIONS: Supraphysiologic doses of testosterone, especially when combined with strength training, increase fat-free mass and muscle size and strength in normal men.""",1
171,171,787788,Vitamin C and acute illness in Navajo school children,"To evaluate earlier observations, including our own, showing usefulness of vitamin C for managing the common cold, we performed a double-blind trial of vitamin C versus placebo in 868 children. There was no difference in number becoming ill (133 versus 129), number of episodes (166 versus 159) or mean illness duration (5.5 versus 5.8 days) between the groups. Children receiving vitamin C had fewer throat cultures yielding beta-hemolytic streptococcus (six versus 13, P less than 0.10), but no difference in overall complicated illness rate (24 versus 25). Plasma ascorbic acid levels were higher in the vitamin group 24 to 26 hours after supplementation (1.28 versus 1.04 mg per 100 ml, P less than 0.01). Children with high plasma ascorbic acid concentrations had longer mean illness (6.8 versus 4.0 days, P less than 0.05) than those with low levels. Vitamin C does not seem to be an effective prophylactic or therapeutic agent for upper respiratory illness.",0
8623,8623,6672506,The liver in fatal exertional heatstroke,"We describe the chronology of hepatic histopathologic alterations in 50 cases of fatal exertional heatstroke related to military training. Five patients who died in the field demonstrated the earliest alterations: fatty change (sometimes microvacuolar), amitotic hepatocellular regeneration, accumulation of hemosiderin, and congestion. In addition, the sinusoids contained polymorphonuclear leukocytes, immature erythroid and granulocytic cells, megakaryocytes, and lymphocytes. Fibrin was not evident. The other 45 patients, who survived up to 8 days following hospitalization, also demonstrated these findings. Microvacuolar fatty change was common in this group of patients, and degenerated hepatocytes resembled Councilman bodies. Coagulative degeneration and submassive necrosis were uncommon. Of those surviving over 12 h, more than half had bile stasis (sometimes ductal), frequently associated with acute cholangitis and ductular proliferation. Regeneration and pigmentary alterations have not been recognized as early hepatic findings in heatstroke, nor have intrasinusoidal bone marrow elements, ductal bile stasis, and acute cholangitis been described. Possible pathogenic factors, other than hyperthermia and sequellae of shock, include obesity, recent illnesses and immunizations, bacterial toxemia, hemolysis, and bone marrow injury.",1
3669,3669,18346652,Local thrombolysis in patients with dural venous thrombosis unresponsive to heparin,"We sought to study the efficacy and complications of local thrombolysis using urokinase in cases of cortical vein thrombosis unresponsive to conventional heparin therapy. Patients with clinical and radiologic diagnosis of cortical vein thrombosis were taken for local thrombolysis using femoral vein approach if they did not respond to heparin therapy after 5 days of administration of the drug. Urokinase was used as the thrombolytic agent and dose was decided depending on the recanalization obtained during the procedure. Of the 3 patients treated, two had complete recanalization and one had partial recanalization. Two had dramatic recovery of the clinical symptoms. One patient in whom thrombolysis was delayed had partial recovery. None had any complications related to the treatment. Local thrombolytic therapy is effective in recanalization of thrombosed sinus. It is worth considering in dire circumstances especially when a patient fails to respond to heparin. However, randomized controlled trials are necessary before any firm recommendations can be made as to whether it can be used as a primary modality of treatment in cases of cortical vein thrombosis. ",0
13104,13104,23596311,HLA haplotype determines hapten or p-i T cell reactivity to flucloxacillin,"Drug-induced liver injury (DILI) is a main cause of drug withdrawal. A particularly interesting example is flucloxacillin (FLUX)-DILI, which is associated with the HLA-B*57:01 allele. At present, the mechanism of FLUX-DILI is not understood, but the HLA association suggests a role for activated T cells in the pathomechanism of liver damage. To understand the interaction among FLUX, HLA molecules, and T cells, we generated FLUX-reacting T cells from FLUX-naive HLA-B*57:01(+) and HLA-B*57:01(-) healthy donors and investigated the mechanism of T cell stimulation. We found that FLUX stimulates CD8(+) T cells in two distinct manners. On one hand, FLUX was stably presented on various HLA molecules, resistant to extensive washing and dependent on proteasomal processing, suggesting a hapten mechanism. On the other hand, in HLA-B*57:01(+) individuals, we observed a pharmacological interaction with immune receptors (p-i)-based T cell reactivity. FLUX was presented in a labile manner that was further characterized by independence of proteasomal processing and immediate T cell clone activation upon stimulation with FLUX in solution. This p-i-based T cell stimulation was restricted to the HLA-B*57:01 allele. We conclude that the presence of HLA-B*57:01 drives CD8(+) T cell responses to the penicillin-derivative FLUX toward nonhapten mechanism.",1
827,827,2816238,Displacement of warfarin from human serum proteins by halothane anaesthesia,"The in vitro effects of the halothane metabolite, trifluoroacetic acid, on the binding of warfarin to human serum proteins have been investigated. An increase in the percentage of free warfarin following incubation with different concentrations of trifluoroacetic acid (1 and 4 mmol/l) was observed. In addition, protein binding of warfarin was studied in serum from patients undergoing halothane anaesthesia (1-2.5%; 2.5 h). After 24 h from the end of the halothane anaesthesia, an increase in the percentage of free warfarin was also detected (0.92 +/- 0.06% at 24 h vs 0.60 +/- 0.02% before halothane administration; P less than 0.005). We conclude that halothane anaesthesia may temporarily potentiate the pharmacological effect of warfarin in the postoperative period following anaesthetic procedures. ",0
